iter	Logloss
0	0.6805048971
1	0.6673502499
2	0.6563422108
3	0.6416225326
4	0.630775092
5	0.6177815612
6	0.608488708
7	0.5985197636
8	0.5899158572
9	0.5805596516
10	0.5713491537
11	0.5631868005
12	0.5559192143
13	0.5484981232
14	0.5420950987
15	0.5350091708
16	0.5279213172
17	0.5218731639
18	0.5151912181
19	0.5075147077
20	0.5014077392
21	0.4953400885
22	0.4913459052
23	0.4856405913
24	0.4800882958
25	0.4753295031
26	0.4700939755
27	0.4660653014
28	0.4616804426
29	0.4567491679
30	0.4519537901
31	0.4473939691
32	0.4442468381
33	0.4414133289
34	0.4379610828
35	0.4346333323
36	0.4307120548
37	0.4271177603
38	0.4244766524
39	0.4209514012
40	0.4177614837
41	0.4142055827
42	0.4117300331
43	0.4085904195
44	0.405728437
45	0.4028945824
46	0.4001368661
47	0.3974038765
48	0.3951177721
49	0.3929798719
50	0.3907273475
51	0.3887590933
52	0.3864111502
53	0.3844611358
54	0.3821486188
55	0.3800902202
56	0.3776717473
57	0.3757128453
58	0.373664398
59	0.3718290475
60	0.3701101059
61	0.3685027509
62	0.365859431
63	0.3639662844
64	0.3624019362
65	0.3606134322
66	0.3586541913
67	0.3574117723
68	0.355863157
69	0.354785232
70	0.3531315892
71	0.3511919113
72	0.3493377892
73	0.3473032005
74	0.3454825467
75	0.3442918255
76	0.3424591723
77	0.3410762373
78	0.3397369775
79	0.3381321524
80	0.3367515239
81	0.3357338539
82	0.3345494232
83	0.3330287299
84	0.3316171965
85	0.3308127327
86	0.3294303855
87	0.3281172345
88	0.3274416655
89	0.3257895153
90	0.3244526472
91	0.3234188823
92	0.321894678
93	0.3207669803
94	0.3194926422
95	0.3178108204
96	0.316716482
97	0.3154524931
98	0.3143630066
99	0.313079513
