iter	Passed	Remaining
0	0	98
1	1	85
2	2	81
3	2	70
4	3	70
5	4	70
6	5	70
7	6	69
8	6	68
9	7	68
10	8	69
11	9	70
12	10	69
13	11	68
14	11	67
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	58
26	21	57
27	21	56
28	22	55
29	23	55
30	24	54
31	25	53
32	26	53
33	27	52
34	27	51
35	28	50
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	43	35
55	44	34
56	44	33
57	45	33
58	46	32
59	47	31
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	51	26
66	52	25
67	53	24
68	53	24
69	54	23
70	55	22
71	56	21
72	57	21
73	58	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	77	0
